병원명,시술명,샷수,도시,정가,할인가
Romrawin Clinic Future Park Rangsit,Ultherapy Prime 300 Shots *Limited 1 Purchase Per User*,300,방콕,"฿75,000","฿39,900"
Byb Clinic,Ulthera 1200 lines (Thai FDA Approved / Physician-Performed),1200,방콕,"฿120,000","฿99,999"
Byb Clinic,Ulthera 300 lines (Thai FDA Approved / Physician-Performed),300,방콕,"฿68,990","฿29,999"
Byb Clinic,Ulthera 700 lines (Thai FDA Approved / Physician-Performed),700,방콕,"฿80,000","฿59,999"
Cher Clinic The Explace Mall,Ulthera Prime (50 Lines),50,방콕,"฿10,000","฿6,305"
Cher Clinic The Explace Mall,Ulthera - V Lifting (1000 Shots),1000,방콕,"฿180,000","฿150,000"
Cher Clinic The Explace Mall,Ulthera (1000 Shots) [Flash Sale eVoucher],1000,방콕,"฿180,000","฿99,999"
Cher Clinic The Explace Mall,Ulthera - V Lifting (500 Shots),500,방콕,"฿90,000","฿75,000"
Cher Clinic The Explace Mall,Ulthera Prime (100 Lines),100,방콕,"฿16,000","฿13,000"
Cher Clinic The Explace Mall,Ulthera (500 Shots) [Flash Sale eVoucher],500,방콕,"฿90,000","฿49,999"
Cher Clinic The Explace Mall,Ulthera (300 Shots) [Flash Sale eVoucher],300,방콕,"฿54,000","฿29,999"
Cher Clinic The Explace Mall,Ulthera - V Lifting (300 Shots),300,방콕,"฿54,000","฿45,000"
Yepum Clinic Midtown Asoke,Ulthera (300 Shots) (8 Steps) (Procedure performed by a doctor),300,방콕,"฿30,000","฿9,990"
Yepum Clinic Midtown Asoke,Ulthera (200 Shots) & Ultraformer III (200 Shots) FREE 200 Shots (8 Steps) FREE Korean Skincare,200,방콕,"฿20,970","฿6,940"
Yepum Clinic Midtown Asoke,Ulthera & Ultraformer III  (8 Steps),,방콕,"฿20,970","฿6,940"
Yepum Clinic Midtown Asoke,Ulthera (300 Shots) (8 Steps) FREE Ultraformer lll 200 Shots (Procedure performed by a doctor) FREE Korean Skincare,300,방콕,"฿30,000","฿9,990"
Cher Wellness Spa By Cher Clinic Att U Park,Ulthera Prime (50 Lines),50,방콕,"฿10,000","฿6,305"
Cher Wellness Spa By Cher Clinic Att U Park,Ulthera Prime (100 Lines),100,방콕,"฿16,000","฿13,000"
The Klinique Central World,Ulthera SPT 200 Lines FREE Pico Laser Bright 1 Time (C0GWB013),200,방콕,"฿48,000","฿24,999"
Mi A Clinic,Ultherapy PRIME Face Lifting with Double Chin Correction (600 lines),600,치앙마이,"฿81,000","฿65,000"
Mi A Clinic,"Ultherapy PRIME Face lifting, Sharpening Jaw Line and Undereye (500 lines)",500,치앙마이,"฿65,000","฿55,000"
Mi A Clinic,"Ultherapy PRIME Periorbital Rejuvenation, Facial Pore Tightening and Under Eyes",,치앙마이,"฿30,000","฿26,000"
Mi A Clinic,Ultherapy PRIME Double Chin Correction (200 lines),200,치앙마이,"฿30,000","฿26,000"
Pruksa Clinic Siam Center Branch,"Ulthera (200 Shots)  *Free LDM Lift Value 8,000 Baht",200,방콕,"฿30,000","฿26,000"
The Zenith Clinic,"Ultherapy Prime Program 100 Line, certified equipment and performed by doctors",100,방콕,"฿25,000","฿13,000"
Romrawin Clinic The Promenade,Ultherapy Prime 300 Shots *Limited 1 Purchase Per User*,300,방콕,"฿75,000","฿39,900"
Romrawin Clinic Centralplaza Chaengwattana,Ultherapy Prime 300 Shots *Limited 1 Purchase Per User*,300,방콕,"฿75,000","฿39,900"
Romrawin Clinic Central Festival Pattaya,Ultherapy Prime 300 Shots *Limited 1 Purchase Per User*,300,기타,"฿75,000","฿39,900"
The Klinique Marche Thonglor,Ulthera SPT 200 Lines FREE Pico Laser Bright 1 Time (C0GWB013),200,방콕,"฿48,000","฿24,999"
Queenly Clinic,Ulthera HIFU - Facial Lifting (Unlimited Shots),,치앙마이,"฿12,998","฿5,999"
Queenly Clinic,Ulthera Lift (200 Shots),200,치앙마이,"฿3,999","฿2,599"
Queenly Clinic,Ulthera Lift (400 Shots),400,치앙마이,"฿9,999","฿4,599"
The Klinique Future Park Rangsit,Ulthera SPT 200 Lines FREE Pico Laser Bright 1 Time (C0GWB013),200,방콕,"฿48,000","฿24,999"
Cher Clinic Lotus Town In Town,Ulthera (300 Shots) [Flash Sale eVoucher],300,방콕,"฿54,000","฿29,999"
Cher Clinic Lotus Town In Town,Ulthera (500 Shots) [Flash Sale eVoucher],500,방콕,"฿90,000","฿49,999"
Cher Clinic Lotus Town In Town,Ulthera (1000 Shots) [Flash Sale eVoucher],1000,방콕,"฿180,000","฿99,999"
Cher Clinic Lotus Town In Town,Ulthera Prime (50 Lines),50,방콕,"฿10,000","฿6,305"
Cher Clinic Lotus Town In Town,Ulthera Prime (100 Lines),100,방콕,"฿16,000","฿13,000"
Pruksa Clinic Ari Branch,"Ulthera (200 Shots)  *Free LDM Lift Value 8,000 Baht",200,방콕,"฿30,000","฿26,000"
Talisa Clinic Future Park Rangsit Zpell Branch,Ultherapy Prime (300 Lines) Get Free! Ultraformer lll (300 Shots),300,방콕,"฿40,000","฿39,000"
Talisa Clinic Future Park Rangsit Zpell Branch,Ultherapy Prime (800 Lines) Get Free! Ultraformer lll (800 Shots),800,방콕,"฿89,000","฿88,000"
Talisa Clinic Future Park Rangsit Zpell Branch,Ultherapy Prime (600 Lines) Get Free! Ultraformer lll (600 Shots),600,방콕,"฿67,000","฿66,000"
Talisa Clinic Future Park Rangsit Zpell Branch,Ultherapy Prime (400 Lines) Get Free! Ultraformer lll (400 Shots),400,방콕,"฿53,000","฿52,000"
Talisa Clinic Future Park Rangsit Zpell Branch,Ultherapy Prime (200 Lines) Get Free! Ultraformer lll (200 Shots),200,방콕,"฿27,000","฿26,000"
Romrawin Clinic Central Ladprao,Ultherapy Prime 300 Shots *Limited 1 Purchase Per User*,300,방콕,"฿75,000","฿39,900"
The Klinique Central Phitsanulok,Ulthera SPT 200 Lines FREE Pico Laser Bright 1 Time (C0GWB013),200,기타,"฿48,000","฿24,999"
Romrawin,Ultherapy Prime 300 Shots *Limited 1 Purchase Per User*,300,방콕,"฿75,000","฿39,900"
Origene Clinic,Program Ultherapy Prime 300 Shots Skin Lifting&Tightening,300,기타,"฿60,000","฿39,990"
Origene Clinic,Program Ultherapy Prime 100 Shots - Skin Lifting&Tightening,100,기타,"฿30,000","฿13,990"
Origene Clinic,Program Ultherapy Prime 500 Shots - Skin Lifting&Tightening,500,기타,"฿90,000","฿64,990"
Pruksa Clinic The Street Ratchadaphisek Branch,"Ulthera (200 Shots)  *Free LDM Lift Value 8,000 Baht",200,방콕,"฿30,000","฿26,000"
The Klinique The Mall Bangkapi,Ulthera SPT 200 Lines FREE Pico Laser Bright 1 Time (C0GWB013),200,방콕,"฿48,000","฿24,999"
Romrawin Clinic Central Festival Chiang Mai,Ultherapy Prime 300 Shots *Limited 1 Purchase Per User*,300,치앙마이,"฿75,000","฿39,900"
The Klinique Central Festival Hatyai,Ulthera SPT 200 Lines FREE Pico Laser Bright 1 Time (C0GWB013),200,기타,"฿48,000","฿24,999"
The Klinique Centralplaza Pinklao,Ulthera SPT 200 Lines FREE Pico Laser Bright 1 Time (C0GWB013),200,방콕,"฿48,000","฿24,999"
Pruksa Clinic Big C Market Kheha Romklao Branch,"Ulthera (200 Shots)  *Free LDM Lift Value 8,000 Baht",200,방콕,"฿30,000","฿26,000"
Behap Wellness Bangna Branch,Ulthera Prime 300 Lines (Please make a reservation in advance. Walk-ins are not accepted.),300,방콕,"฿45,990","฿39,990"
Romrawin Clinic Central Phuket Floresta,Ultherapy Prime 300 Shots *Limited 1 Purchase Per User*,300,푸켓,"฿75,000","฿39,900"
Romrawin Clinic Emquartier,Ultherapy Prime 300 Shots *Limited 1 Purchase Per User*,300,방콕,"฿75,000","฿39,900"
Romrawin Clinic Central Westgate,Ultherapy Prime 300 Shots *Limited 1 Purchase Per User*,300,방콕,"฿75,000","฿39,900"
Aestima Clinic Sathorn Branch,Ultherapy Prime (Gold Standard) (300 Shots)  Performed by Certified Doctor,300,방콕,"฿60,000","฿39,000"
Lovely Eye Skin Clinic By,Lovely Eye Reborn Program (S) By Ulthera 150 Line (Please make a reservation in advanced),150,방콕,"฿34,900","฿24,900"
Lovely Eye Skin Clinic By,Lovely Eye Reborn Program (XL) By Thermage Eye & Ultherapy Eye Lock (Please make a reservation in advanced),,방콕,"฿98,590","฿75,000"
Lovely Eye Skin Clinic By,Ultherapy Authentic Program 500 Lines (Please make a reservation in advanced),500,방콕,"฿75,000","฿58,000"
Lovely Eye Skin Clinic By,Ultherapy Authentic Program 600 Lines Free Indiba Face 1 Time (Please make a reservation in advanced),600,방콕,"฿90,000","฿70,000"
Lovely Eye Skin Clinic By,Ultherapy Authentic Program 300 Lines (Please make a reservation in advanced),300,방콕,"฿45,000","฿38,900"
Romrawin Clinic Central Salaya,Ultherapy Prime 300 Shots *Limited 1 Purchase Per User*,300,기타,"฿75,000","฿39,900"
