병원명,시술명,샷수,도시,정가,할인가
Isaya Clinic,Ultraformer III -Facial(800Shots)*Free Botox 20Units,800,방콕,"฿29,000","฿15,990"
Duo Clinic,"Ultraformer III(700 Line, Free Anesthetic, Plus Laser For A Clear Face)",700,방콕,,
Duo Clinic,"Ultraformer III(1500 Line, Free Anesthetic, Plus Laser For A Clear Face)",1500,방콕,,
Duo Clinic,Ultraformer III (300 Line Free Anesthetic And Free Laser For Clear Face),300,방콕,,
Duo Clinic,"Ultraformer III(1100 Line, Free Anesthetic, Plus Laser For A Clear Face)",1100,방콕,,
Howto Clinic,Ultraformer III (600 Shots)  Free Meso Skin Bright  *Authentic machine,600,방콕,"฿17,000","฿9,999"
Howto Clinic,Ultraformer III (400 Shots)   Free Meso Skin Bright  *Authentic machine,400,방콕,"฿12,000","฿6,999"
Prisma Clinic,Ultraformer III (Full Ultraformer III) - Facial Lifting & Reduce Wrinkles (100 Shots),100,방콕,"฿5,999","฿3,999"
Prisma Clinic,Ultraformer III (MMFU) - Facial Lifting & Reduce Wrinkles (300 Shots),300,방콕,"฿15,000","฿8,600"
Prisma Clinic,Ultraformer III (MMFU) - Facial Lifting & Reduce Wrinkles (500 Shots),500,방콕,"฿25,000","฿14,000"
Dr Pong Private Clinic,Ultraformer III (MMFU) - Full-Facial and Chin Skin Tightening (Performed by a Skilled Physician),,방콕,"฿21,000","฿11,900"
The Peak Clinic,Ultraformer III - Facial Liftng (100 Shots),100,방콕,"฿7,999","฿4,500"
The Peak Clinic,Ultraformer III - Facial Liftng (200 Shots),200,방콕,"฿12,999","฿6,900"
Bkk Beauty Club Clinic Italthai House,Ultraformer III Facial Lifting (100 Shots) (Procedure by  Doctor) (*Authentic Machine can be Verify),100,방콕,"฿4,999","฿2,999"
Pruksa Clinic Muang Thong Thani Branch,Ultraformer III - Facial Lifting (200 Shots),200,방콕,"฿16,000","฿5,900"
Gangnam Clinic The Mall Tha Phra,Ultraformer III (400 Shots) by Doctor,400,방콕,"฿12,000","฿10,990"
Beglam Clinic Sathorn Branch,Ultraformer III - Full face lifting (1200 shots),1200,방콕,"฿49,990","฿31,990"
Beglam Clinic Sathorn Branch,Ultraformer III - Full face lift (400 shots),400,방콕,"฿15,900","฿12,990"
Beglam Clinic Sathorn Branch,Ultraformer III - Full face lift (600 shots),600,방콕,"฿22,990","฿17,990"
Beglam Clinic Sathorn Branch,Ultraformer III - Full face lift (100 shots),100,방콕,"฿5,990","฿3,990"
Beglam Clinic Sathorn Branch,Ultraformer III - Full face lift (350 shots),350,방콕,"฿13,990","฿10,990"
Beglam Clinic Sathorn Branch,Ultraformer III - Lift and tighten all over the face (800 shots),800,방콕,"฿29,990","฿21,990"
Byb Clinic,Ultraformer III - Face Lifting (600 Shots) (Performed by Doctor) (*Please Book via LINE in Advance),600,방콕,"฿19,999","฿12,999"
